"","ResultMeasure2","STRAHLER2","DrainageAreaMeasure_MeasureValue","HUCEightDigitCode","date","ResultSampleFractionText","PFOR2","PWETL2","PURB2","PAGT2","LatitudeMeasure","LongitudeMeasure","MonitoringLocationIdentifier"
"1200",0.004,2,25.6,14010001,"2006-08-01T00:00:00Z","Dissolved",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1201",0.008,2,25.6,14010001,"2006-08-01T00:00:00Z","Total",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1202",0,2,25.6,14010001,"2006-09-28T00:00:00Z","Dissolved",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1203",0.009,2,25.6,14010001,"2006-09-28T00:00:00Z","Total",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1204",0.005,2,25.6,14010001,"2006-07-18T00:00:00Z","Dissolved",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1205",0.009,2,25.6,14010001,"2006-07-18T00:00:00Z","Total",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1206",0,2,25.6,14010001,"2000-02-15T00:00:00Z","Dissolved",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1207",0.006,2,25.6,14010001,"2000-02-15T00:00:00Z","Total",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1208",0,2,25.6,14010001,"2000-08-15T00:00:00Z","Dissolved",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1209",0.006,2,25.6,14010001,"2000-08-15T00:00:00Z","Total",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1210",0.008,2,270,14010001,"2008-09-09T00:00:00Z","Dissolved",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1211",0.015,2,270,14010001,"2012-05-22T00:00:00Z","Total",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1212",0.006,2,270,14010001,"2012-05-22T00:00:00Z","Dissolved",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1213",0.006,2,270,14010001,"2009-04-21T00:00:00Z","Dissolved",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1214",0.005,2,270,14010001,"2009-03-19T00:00:00Z","Dissolved",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1215",0.01,2,270,14010001,"2009-03-19T00:00:00Z","Total",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1216",0.01,2,270,14010001,"2009-11-24T00:00:00Z","Total",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
