"","ResultMeasure2","STRAHLER2","DrainageAreaMeasure_MeasureValue","HUCEightDigitCode","date","ResultSampleFractionText","PFOR2","PWETL2","PURB2","PAGT2","LatitudeMeasure","LongitudeMeasure","MonitoringLocationIdentifier"
"1056",0.011,2,25.6,14010001,"2001-01-09T00:00:00Z","Total",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1057",0.003,2,25.6,14010001,"2001-03-21T00:00:00Z","Dissolved",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1058",0.011,2,25.6,14010001,"2001-03-21T00:00:00Z","Total",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1059",0.072,2,788,14010001,"2006-04-27T00:00:00Z","Total",46.08,0,0,0.25,40.108319,-106.0041847,"USGS-09034250"
"1060",0.056,2,788,14010001,"2006-08-23T00:00:00Z","Dissolved",46.08,0,0,0.25,40.108319,-106.0041847,"USGS-09034250"
"1061",0.081,2,788,14010001,"2006-08-23T00:00:00Z","Total",46.08,0,0,0.25,40.108319,-106.0041847,"USGS-09034250"
"1062",0.051,2,788,14010001,"2006-11-20T00:00:00Z","Total",46.08,0,0,0.25,40.108319,-106.0041847,"USGS-09034250"
"1063",0.061,2,788,14010001,"2006-01-18T00:00:00Z","Dissolved",46.08,0,0,0.25,40.108319,-106.0041847,"USGS-09034250"
"1064",0.092,2,788,14010001,"2006-01-18T00:00:00Z","Total",46.08,0,0,0.25,40.108319,-106.0041847,"USGS-09034250"
"1065",0.04,2,788,14010001,"2000-04-12T00:00:00Z","Dissolved",46.08,0,0,0.25,40.108319,-106.0041847,"USGS-09034250"
"1066",0.09,2,788,14010001,"2000-04-12T00:00:00Z","Total",46.08,0,0,0.25,40.108319,-106.0041847,"USGS-09034250"
"1067",0.022,2,788,14010001,"2006-04-27T00:00:00Z","Dissolved",46.08,0,0,0.25,40.108319,-106.0041847,"USGS-09034250"
"1068",0.03,2,788,14010001,"2006-05-17T00:00:00Z","Dissolved",46.08,0,0,0.25,40.108319,-106.0041847,"USGS-09034250"
"1069",0.066,2,788,14010001,"2006-05-17T00:00:00Z","Total",46.08,0,0,0.25,40.108319,-106.0041847,"USGS-09034250"
"1070",0.039,2,788,14010001,"2006-06-13T00:00:00Z","Dissolved",46.08,0,0,0.25,40.108319,-106.0041847,"USGS-09034250"
"1071",0.062,2,788,14010001,"2006-06-13T00:00:00Z","Total",46.08,0,0,0.25,40.108319,-106.0041847,"USGS-09034250"
"1072",0.06,2,788,14010001,"2000-08-23T00:00:00Z","Total",46.08,0,0,0.25,40.108319,-106.0041847,"USGS-09034250"
"1073",0.04,2,788,14010001,"2000-08-23T00:00:00Z","Dissolved",46.08,0,0,0.25,40.108319,-106.0041847,"USGS-09034250"
